gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,499.1593,481.7053,128,33.0151,44.911,1081.3607,685.8002,664.387
1,521.6943,502.2211,128,46.4866,47.8539,1062.5126,696.7367,656.5439
1,498.592,477.7656,128,30.2324,54.1202,1091.1063,687.0706,669.8791
1,218.7167,667.3058,128,38.4708,32.3883,490.946,457.7521,338.142
1,526.7722,502.0159,128,42.4264,48.7647,1069.2263,685.6653,663.2797
1,531.8797,499.6039,128,40.0125,52.7731,1069.0917,694.3846,655.0275
1,498.4506,487.8781,128,36.7696,56.3028,1086.7061,679.8654,675.4435
1,228.5301,734.5434,128,85.4225,123.4544,486.0669,408.9315,532.2528
1,522.0278,507.8622,128,38.0132,52.6973,1067.3767,693.6873,665.6741
1,525.396,497.6183,128,43.1045,54.1202,1082.0559,689.4208,665.9737
1,517.5761,491.0244,128,37.1618,46.1736,1071.135,693.6,659.2155
1,494.7727,497.8846,128,35.4401,55.7136,1087.9784,681.3993,674.9607
1,501.5745,493.0923,128,30.0832,49.2443,1078.4827,685.1314,664.0068
1,529.4393,513.0634,128,39.8497,55.4437,1064.4928,690.058,647.8001
1,513.4082,498.4827,128,34.6699,46.8722,1056.179,691.922,652.9173
1,533.0141,501.0279,128,44.0114,55.0364,1086.0754,687.9128,656.9171
1,504.0248,489.5314,128,34.5398,49.0306,1072.0565,683.3104,671.0209
1,520.8992,506.7939,128,43.4166,48.3735,1058.4073,692.7518,651.4146
1,514.6882,493.073,128,40,55.7584,1084.8341,682.579,662.5436
1,519.0472,490.251,128,28.8444,53.3104,1055.9821,685.2715,653.4164
1,532.3195,502.9612,128,42.4264,54.1295,1078.5996,688.8889,656.6643
1,507.1736,490.9756,128,40.4475,54.231,1086.9158,679.5587,671.0536
1,530.9934,501.7738,128,50.8035,54.6443,1073.1566,692.9885,663.1214
1,518.168,490.9145,128,33.6006,50.9902,1064.2415,691.4803,656.5257
1,530.1641,505.8666,128,42.5441,51.0882,1069.4943,701.005,657.6078
1,524.1718,500.7565,128,49.366,46.2709,1068.038,692.1878,660.2061
1,495.8488,486.0453,128,35.1141,50.6952,1080.0116,688.3546,669.9141
1,515.9845,498.977,128,39.8121,48.7032,1063.3767,695.5056,660.4014
1,513.4141,497.2927,128,48.8467,47.5079,1071.8269,694.2622,664.5608
1,520.8618,506.7001,128,43.7379,51.264,1068.2697,687.0815,658.2795
1,509.3997,497.1368,128,37.5899,53.1507,1080.8672,687.0255,669.9329
1,502.9722,494.0982,128,33.541,54.5894,1089.4094,685.4196,672.6254
1,502.4759,483.4728,128,34.1321,52.6308,1076.8268,684.1871,662.4349
1,498.6231,484.7319,128,32.7567,55.2268,1077.0868,683.5393,666.274
1,530.1868,508.7681,128,44.643,54.1479,1068.5214,699.6185,666.7803
1,492.6104,502.2211,128,47.2969,54.037,1087.2737,678.3989,674.937
1,504.7584,488.2007,128,33.0151,56.7186,1081.4495,678.2308,666.8051
1,534.8663,506.5373,128,41,55.4437,1077.3695,700.5206,652.345
1,523.6879,498.7515,128,43.9659,49.5177,1076.7693,692.4254,664.1272
1,528.6436,502.5266,128,41.3401,50.636,1047.2841,692.8701,650.2708
1,527.0085,516.8868,128,45.3431,51.614,1070.6656,691.7405,647.3801
1,518.3214,509.7156,128,46.6905,46.4866,1071.0018,681.1968,660.3007
1,521.2188,513.079,128,40.3113,49.4065,1061.017,688.335,649.1179
1,516.4261,494.9272,128,42.5206,49.0408,1055.4587,695.8218,660.1492
1,525.0238,502.2071,128,44.7772,42.5206,1075.9275,684.7752,654.6587
1,515.8004,490.461,128,41.4849,48.7032,1058.4592,692.5641,654.2239
1,532.3016,516.2828,128,47.8017,50,1082.8047,693.2452,651.6011
1,501.1756,478.7744,128,35.1141,48.2597,1088.1733,682.1356,668.1385
1,498.3021,479.5518,128,35.5106,50.0899,1082.6084,684.8073,668.9245
