gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,734.5911,425.7758,128.0000,42.7200,45.6070,805.9832,542.1891,505.0188
1,737.4605,408.9315,128.0000,53.2259,38.2753,829.0778,539.3042,527.0237
1,708.7545,400.9451,128.0000,42.5206,41.4367,850.3140,527.7737,527.7433
1,733.0436,409.1760,128.0000,41.7612,37.3363,800.7128,545.7701,504.9277
1,746.1937,407.3573,128.0000,37.5899,37.3363,815.0496,546.1135,505.0010
1,729.5807,407.4923,128.0000,37.6962,37.4433,842.2410,534.9636,528.0237
1,711.1807,407.0786,128.0000,37.2156,48.7955,826.5446,532.7974,504.3858
1,719.5533,405.5540,128.0000,35.0571,43.1741,846.6410,530.1028,535.0757
1,707.2340,393.8947,128.0000,34.2053,35.4683,838.3854,525.6206,522.8049
1,716.7740,393.8744,128.0000,36.4005,44.5533,835.7254,530.1924,524.4435
1,731.1143,404.8506,128.0000,34.1760,46.0435,800.6604,537.8187,494.7899
1,724.6717,405.8239,128.0000,44.7772,39.6989,823.4683,541.3502,526.2632
1,445.9170,689.7919,128.0000,108.6692,30.0167,336.4818,269.1356,209.7451
1,744.6643,413.8031,1152.0000,50.2494,49.1935,818.3984,546.9489,512.7621
1,705.4368,401.3303,128.0000,42.0595,45.5412,844.2920,530.3225,524.9324
1,717.5862,401.3191,128.0000,37.5899,41.4005,820.9312,535.9553,509.0953
1,707.6115,403.7673,128.0000,35.1283,43.0116,842.8766,526.0010,525.1609
1,734.4182,401.6018,128.0000,33.2415,46.6154,784.1747,544.0312,490.5966
1,724.9855,406.5329,128.0000,45.8803,40.3113,842.3972,536.8594,525.5949
1,713.3253,406.1256,128.0000,50.2892,44.5533,848.6135,530.4866,542.0923
1,739.6391,405.0802,128.0000,39.2173,43.8634,799.1708,550.5352,505.8943
1,732.2363,400.0612,128.0000,41.5933,38.6005,832.9135,534.6027,517.3568
1,706.0000,404.9506,128.0000,48.1664,39.0000,851.5551,531.4753,528.0956
1,710.1443,404.5454,128.0000,44.5982,42.8019,834.7119,530.7899,531.6813
1,704.4750,397.3726,128.0000,43.1045,49.2037,848.9576,526.7808,530.2122
1,716.4000,391.8635,128.0000,40.4969,35.4683,808.0378,548.0557,500.2440
1,733.1609,405.2160,128.0000,35.0000,45.4533,788.5182,548.6292,495.9889
1,727.6710,409.4997,128.0000,38.9487,48.5489,831.6231,534.3351,524.7419
1,707.2001,398.8897,128.0000,43.2666,47.1699,846.0290,524.9695,531.1732
1,712.2359,387.8814,128.0000,33.5261,42.2019,844.5691,532.8283,517.8281
1,720.1069,422.0391,128.0000,33.2415,42.4264,758.1695,535.5222,492.7515
1,747.0529,388.1469,128.0000,34.3657,41.7253,791.1618,533.4360,486.0545
1,752.0492,396.5363,128.0000,45.5412,36.6879,787.9017,534.8943,486.6559
1,713.9503,393.5543,128.0000,32.2800,45.8803,850.7791,539.5267,529.9905
1,726.4276,402.9342,128.0000,48.0833,34.9285,813.7057,539.9574,518.7003
1,716.3379,397.8505,128.0000,35.8469,47.0425,814.8478,534.6821,511.7812
1,702.7809,399.3019,128.0000,49.2443,39.8121,832.9136,534.4315,530.6006
1,722.5960,401.6180,128.0000,40.0125,45.6946,841.1230,531.4169,536.0037
1,709.3666,390.3704,128.0000,35.8469,38.0789,838.2004,525.5949,528.8752
1,738.8132,397.0416,128.0000,42.8019,35.8469,822.3406,540.0536,513.1403
1,730.0685,400.7917,128.0000,46.1736,39.8497,809.7012,538.6966,514.9446
1,725.6204,401.6429,128.0000,38.0132,42.1070,796.6561,544.9183,502.8121
1,727.3961,400.2449,128.0000,41.1096,36.0555,788.2366,558.6492,505.3603
1,738.6000,396.8123,128.0000,49.0408,41.6293,791.5409,543.1832,506.1748
1,732.7571,404.7938,128.0000,55.1090,44.7772,795.6846,547.4030,494.1458
1,716.0062,393.2048,128.0000,39.8121,41.7253,848.3396,534.4165,533.4960
1,707.0856,395.8181,128.0000,43.9090,48.1664,847.2551,529.9142,523.0010
1,701.4000,392.5316,128.0000,41.1096,41.9762,835.2844,524.3091,530.4866
1,722.0782,389.8679,128.0000,29.6142,45.0000,828.4021,542.3550,517.4263
1,725.0338,389.4946,128.0000,50.0899,35.7771,841.7708,531.8647,520.8013
1,722.8969,389.6486,128.0000,40.1123,49.4975,833.6570,530.6487,528.8875
1,733.8426,404.2487,128.0000,46.8615,46.0109,809.3115,536.6060,509.4173
1,714.2808,383.1579,128.0000,32.5576,47.8017,834.0024,538.7439,523.4960
1,719.3442,393.8756,128.0000,46.0435,44.1475,831.1949,533.7040,530.5290
1,728.4264,399.7824,128.0000,49.8197,48.7647,812.3035,543.1620,515.8004
1,719.7006,394.3666,128.0000,42.4500,42.4500,841.3537,532.9109,529.3893
1,735.3972,394.4579,128.0000,39.5601,40.7185,783.3396,552.7477,500.6496
1,728.9753,400.1700,128.0000,35.8469,44.4185,784.0823,546.5757,500.0660
1,744.2177,391.5635,128.0000,28.8617,43.9659,806.7875,548.1788,492.5851
1,734.4338,397.7587,128.0000,44.2832,41.4367,791.6445,546.5099,499.9300
1,732.1475,391.1036,128.0000,34.8281,42.2019,789.6240,543.6617,501.1756
1,742.0060,389.8474,128.0000,49.5782,39.3954,809.7654,545.6190,505.0485
1,707.8828,391.4294,128.0000,37.6431,42.9535,840.5450,530.4338,532.7814
1,729.3950,393.8248,128.0000,44.5982,50.0899,814.6171,535.7313,518.2673
1,710.6912,380.9002,128.0000,31.7648,37.2021,829.2002,532.8058,519.6085
1,703.5140,386.9083,128.0000,37.1214,44.6542,839.1931,524.8247,522.6327
1,637.0377,419.3805,128.0000,36.6197,38.6394,907.4056,479.5884,488.5755
1,639.3881,414.3356,128.0000,37.6431,41.0000,898.1102,483.4511,487.0010
1,729.9384,383.2754,128.0000,46.0977,33.6006,803.7270,550.3681,504.4294
1,700.1786,385.7007,128.0000,42.4853,49.0408,839.7737,528.8071,534.7682
1,718.3070,382.8276,128.0000,43.0000,42.1900,850.8049,529.3401,534.1610
1,730.6025,391.2467,128.0000,48.1664,45.6070,789.2198,549.4770,499.3165
1,713.8550,390.7173,128.0000,43.0116,46.5296,843.6071,528.2197,534.0861
1,720.1903,384.1874,128.0000,44.2719,46.4866,837.6974,530.4950,528.6747
1,737.0000,382.0275,128.0000,29.8329,46.2385,811.8036,539.2411,490.0990
1,707.1471,382.6082,128.0000,41.1947,41.0000,849.7535,532.4143,528.1856
1,724.8641,381.2663,128.0000,33.2415,42.0000,808.9629,535.9347,493.9818
1,719.6680,388.1198,128.0000,46.0435,41.0366,832.6692,536.4895,525.0381
1,733.7915,391.5674,128.0000,51.0882,45.3431,819.6054,540.0898,517.9585
1,715.3545,377.8743,128.0000,33.2415,41.0487,809.9247,541.6133,502.7614
1,715.6124,384.5335,128.0000,36.8917,45.2548,826.1095,533.1839,516.4959
1,701.9294,382.2316,128.0000,39.2046,44.5533,838.9929,527.2191,514.0156
1,730.7763,382.1021,128.0000,53.0848,40.3113,812.5743,534.6335,510.7768
1,729.7561,380.1079,128.0000,51.2445,38.8330,816.5250,547.4496,515.5938
1,738.8809,393.0051,128.0000,45.3431,45.4863,801.7737,548.2664,505.6807
1,737.4965,386.1049,128.0000,40.7922,40.8534,795.4351,541.4444,497.8925
1,736.2961,388.4598,128.0000,30.8707,47.1699,794.1367,543.4795,496.0252
1,705.8222,384.7623,128.0000,46.0109,52.0000,847.4055,529.2410,533.7884
1,716.9274,376.9032,128.0000,30.0167,47.4236,849.8029,528.1401,531.0490
1,707.8312,384.2135,128.0000,42.9535,43.3820,846.0378,527.2732,538.5629
1,718.9771,386.0013,128.0000,44.2041,41.0488,825.8408,530.1707,529.5328
1,727.1217,379.3007,128.0000,30.8058,41.0488,808.1788,542.4039,501.5695
1,720.9106,380.8648,128.0000,38.0789,47.8539,820.2354,533.5935,512.0205
1,727.7892,376.3788,128.0000,27.2029,46.3249,797.8998,542.4030,497.5792
1,708.5436,381.6346,128.0000,45.4863,44.1022,855.6103,532.8358,528.6483
1,730.7325,384.2135,128.0000,41.2311,39.8121,778.8382,544.4722,495.0727
1,731.8497,381.2152,128.0000,48.8262,41.0366,795.3119,540.1074,506.3793
1,725.3854,373.7513,128.0000,44.5533,39.2046,794.3803,554.9234,495.6945
1,732.2056,385.6034,128.0000,39.3192,37.9473,784.8936,544.6953,493.1460
1,719.5804,373.8943,128.0000,50.7740,42.4264,851.7118,531.3915,525.9506
1,735.6120,383.0509,128.0000,44.5533,38.8973,820.1250,535.6958,509.3721
1,713.8158,375.4530,128.0000,34.9285,38.4187,798.7271,533.5214,500.9241
1,722.5206,376.0917,128.0000,36.2215,49.0102,842.4138,530.1246,527.7954
1,718.0445,387.7435,128.0000,54.5711,39.0512,825.4368,531.3003,527.3111
1,731.6865,378.3807,128.0000,39.6989,47.6760,797.9386,546.8245,497.4897
1,726.1411,373.5238,128.0000,48.7955,43.0465,800.7653,542.0378,500.8014
1,714.6727,367.2016,128.0000,42.0119,42.0119,817.6662,539.1336,512.1973
1,707.4694,374.2326,128.0000,46.6154,39.9625,837.7834,533.9139,522.2203
1,724.8090,384.5257,128.0000,45.4863,44.7214,807.4020,546.3552,515.9632
1,705.6345,375.6661,128.0000,34.3657,42.4382,830.9374,528.6066,517.9894
1,707.4072,377.7843,128.0000,50.4876,46.0977,844.0853,524.2184,539.0232
1,714.3704,374.0120,128.0000,34.2053,51.1077,847.4161,527.7888,529.4195
1,721.6682,379.7697,128.0000,41.7732,38.1182,831.8203,533.0338,525.0380
